"
Image id",Caption,Label,
11,গ্রামীণফোনের শীর্ষ কর্মকর্তা ইয়াসির আজমানের সঙ্গে অপ্রত্যাশিত মুহূর্তে দেখা হলো বলরামপুরের দয়াল চন্দ্র বর্মণের।,0,
12,বলরামপুরে ঘুরতে গিয়ে দয়াল চন্দ্র বর্মণের সঙ্গে গ্রামীণফোন সিইও ইয়াসির আজমানের একটি আকস্মিক সাক্ষাৎ হলো।,0,
13,"গ্রামীণফোন সিইও ইয়াসির আজমান যখন বলরামপুরে ঘুরছিলেন, তখন তিনি দয়াল চন্দ্র বর্মণের সঙ্গে দেখা করলেন।",0,
14,দয়াল চন্দ্র বর্মণ এবং গ্রামীণফোন সিইও ইয়াসির আজমানের একটি আকস্মিক সাক্ষাত ঘটলো বলরামপুরে।,0,
15,গ্রামীণফোনের মাসিক প্ল্যানে সাবস্ক্রাইব করে থাকুন সারা মাস ইন্টারনেটের আনন্দ উপভোগ করতে। মাইজিপি অ্যাপ থেকে আপনার পছন্দের প্ল্যানটি সহজেই বেছে নিন।,1,
16,সারা মাসের জন্য নির্ভরযোগ্য নেটওয়ার্ক এবং আকর্ষণীয় অফার পেতে গ্রামীণফোনের মাসিক প্ল্যানই সেরা পছন্দ। মাইজিপি অ্যাপ থেকে কয়েক সেকেন্ডেই প্ল্যানটি কিনে নিন।,1,
17,ওড়াকান্দি মেলায় লাখো ভক্তের সমাগমে মুখরিত হয়ে উঠেছে। ২০০ বছরের পুরনো এই ঐতিহ্যবাহী উৎসবে গ্রামীণফোনের নিরবচ্ছিন্ন নেটওয়ার্ক সেবা ভক্তদের আরও একটু কাছে এনেছে। আব রশিদ এই উৎসবের সুন্দর মুহূর্তগুলো ক্যামেরাবন্দি করেছেন।,1,
18,দেশ-বিদেশ থেকে আসা লাখো ভক্তের প্রার্থনায় মুখরিত ওড়াকান্দি। গ্রামীণফোনের নিরবচ্ছিন্ন নেটওয়ার্কের সাহায্যে এই ঐতিহ্যবাহী উৎসব আরও বর্ণিল হয়ে উঠেছে। আব রশিদের ক্যামেরায় বন্দি হয়েছে উৎসবের এই সুন্দর মুহূর্তগুলো।,1,
19,"২০০ বছরেরও বেশি সময় ধরে চলে আসা ওড়াকান্দির মেলায় প্রতিবারের মতো এবারও লাখো ভক্তের সমাগম ঘটেছে। গ্রামীণফোনের কর্মীদের নিরলস প্রচেষ্টায় উৎসবের সময় নেটওয়ার্ক সুবিধা নিরবচ্ছিন্ন ছিল, যা ভক্তদের জন্য একটি বড় সুবিধা। আব রশিদের তোলা ছবি এই উৎসবের সাক্ষী।",1,
20,ওড়াকান্দির ঐতিহ্যবাহী উৎসবে লাখো ভক্তের আনন্দ উৎসব। গ্রামীণফোনের নিরবচ্ছিন্ন নেটওয়ার্ক এই উৎসবকে আরও স্মরণীয় করে তুলেছে। আব রশিদের ক্যামেরায় বন্দি হয়েছে এই উৎসবের জমকালো পরিবেশ।,1,
21,২০০ বছরের পুরনো ওড়াকান্দির মেলায় লাখো ভক্তের সমাগম। গ্রামীণফোনের নেটওয়ার্ক কর্মীদের সহযোগিতায় ভক্তরা এই উৎসবে নিরবচ্ছিন্ন নেটওয়ার্ক সুবিধা উপভোগ করেছেন। আব রশিদের ক্যামেরার লেন্সে বন্দি হয়েছে এই উৎসবের সুন্দর মুহূর্তগুলো।,1,
22,বাঙালির আবেগের প্রতীক পহেলা বৈশাখ। এই দিনে রমনা বটমূলের মতো ঐতিহ্যবাহী স্থানে মানুষের ঢল নামে। আমাদের নেটওয়ার্ক কর্মীরা এই উৎসবকে আরও স্মরণীয় করে তুলতে নিরলস প্রচেষ্টা চালিয়ে যান। ফটোগ্রাফার অনির্বাণ কায়সার এই উৎসবের অমূল্য মুহূর্তগুলো ক্যামেরাবন্দি করেছেন।,1,
23,বছরের প্রথম দিনে বাঙালির হৃদয় উৎসবে মুখরিত হয়। রমনা বটমূলের সবুজ আঁচলে মিলিত হয় লাখো মানুষ। গ্রামীণফোন পরিবারের সদস্যরা এই উৎসবে সবার পাশে থেকে নিরবচ্ছিন্ন নেটওয়ার্ক সেবা নিশ্চিত করেছে। অনির্বাণ কায়সারের ক্যামেরায় বন্দি হয়েছে এই উৎসবের ঐতিহ্যবাহী ছবি।,1,
24,বাঙালির সংস্কৃতির অন্যতম উৎসব পহেলা বৈশাখ। রমনা বটমূলের মতো ঐতিহ্যবাহী স্থানে এই উৎসবের জৌলুস আরও বেড়ে যায়। গ্রামীণফোন এই উৎসবে সবার পাশে থেকে তাদের ডিজিটাল জীবনকে আরও সমৃদ্ধ করেছে।,1,
25,বাঙালির নববর্ষের আনন্দ উৎসব পহেলা বৈশাখ। রমনা বটমূলের সবুজ চাদরে মিলিত হয় লাখো মানুষ। গ্রামীণফোন পরিবারের অক্লান্ত পরিশ্রমে এই উৎসবে নেটওয়ার্ক সেবা নিরবচ্ছিন্ন ছিল।,1,
26,বাঙালির আনন্দের উৎসব পহেলা বৈশাখ। রমনা বটমূলে এই উৎসবের রঙিন ছবি তুলে ধরেছেন অনির্বাণ কায়সার। গ্রামীণফোন পরিবারের সদস্যরা এই উৎসবে সবার পাশে থেকে তাদের ডিজিটাল জীবনকে আরও সহজ করে তুলেছে।,1,
27,"লাখো মানুষের পুণ্যস্নানে এবারও মুখরিত সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। কেউ এখানে এসেছেন পুণ্য লাভের আশায়, কেউ কেউ আবার এসেছেন মানত পূরণ করতে। যার যাই উদ্দেশ্য হোক, এত ভিড়ের মাঝেও সবার নেটওয়ার্কটা যেন ঠিক থাকে সেজন্য নিরলসভাবে কাজ করে গিয়েছেন আমাদের নেটওয়ার্ক কর্মীরা। 
তাহিরপুরে পুণ্যতীর্থের সুন্দর মুহূর্তগুলো উঠে এসেছে কৌশিক কিরণ -এর ক্যামেরায়।",1,
28,সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদীতে লাখো মানুষের পুণ্যস্নানের ঢেউ ছাপিয়ে গেছে। পুণ্যার্থীদের আস্থা ও বিশ্বাসের প্রতীক হিসেবে পরিগণিত এই নদীতে আজও মানুষ ভিড় জমিয়েছে। নেটওয়ার্ক কর্মীদের অক্লান্ত পরিশ্রমে এই পবিত্র মুহূর্তগুলো আরও স্মরণীয় হয়ে উঠেছে। কৌশিক কিরণের ক্যামেরায় বন্দি হয়েছে এই পবিত্র মিলনের অবিস্মরণীয় দৃশ্য।,1,
29,ঐতিহ্যবাহী জাদুকাটা নদীতে আজও লাখো মানুষের পুণ্যার্থীদের সমাগম ঘটেছে। পুণ্যার্থীদের আস্থা ও বিশ্বাসের প্রতীক হিসেবে পরিচিত এই নদীতে আজও মানুষের ভিড় লেগেছে। নেটওয়ার্ক কর্মীদের অক্লান্ত পরিশ্রমে এই পবিত্র মুহূর্তগুলো আরও স্মরণীয় হয়ে উঠেছে। কৌশিক কিরণের ক্যামেরা এই পবিত্র মিলনের সাক্ষী হয়েছে।,1,
30,সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদীতে আজও পুণ্যার্থীদের ভিড় লেগেছে। শত শত বছর ধরে চলে আসা এই পুণ্যস্নানের ঐতিহ্য আজও অটুট রয়েছে। নেটওয়ার্ক কর্মীদের অক্লান্ত পরিশ্রমে এই পবিত্র মুহূর্তগুলো আরও স্মরণীয় হয়ে উঠেছে। কৌশিক কিরণের ক্যামেরায় বন্দি হয়েছে এই পবিত্র মিলনের অবিস্মরণীয় দৃশ্য।,1,
31,লাখো মানুষের আস্থা ও বিশ্বাসের প্রতীক সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদী। আজও এই নদীতে পুণ্যার্থীদের ভিড় লেগেছে। নেটওয়ার্ক কর্মীদের অক্লান্ত পরিশ্রমে এই পবিত্র মুহূর্তগুলো আরও স্মরণীয় হয়ে উঠেছে। কৌশিক কিরণের ক্যামেরায় বন্দি হয়েছে এই পবিত্র মিলনের অবিস্মরণীয় দৃশ্য।,1,
32,সুনামগঞ্জের তাহিরপুরের জাদুকাটা নদীতে আজও পুণ্যস্নানের ঐতিহ্য বজায় রয়েছে। লাখো মানুষের পুণ্যার্থীদের সমাগমে নদীটি মুখরিত হয়ে উঠেছে। নেটওয়ার্ক কর্মীদের অক্লান্ত পরিশ্রমে এই পবিত্র মুহূর্তগুলো আরও স্মরণীয় হয়ে উঠেছে।,1,
33,"দূরত্ব যতই থাকুক না কেন, প্রিয়জনের মনকে ছুঁয়ে যাওয়ার মায়া জাদু। ৭০ লাখ প্রবাসীর পরিবারের এই আশা পূরণে আমরা মুন্সীগঞ্জে গিয়েছিলাম। প্রবাসীদের সঙ্গে তাদের প্রিয়জনদের মিলনের এই অবিস্মরণীয় মুহূর্তগুলো ক্যামেরাবন্দি করেছেন জয়িতা ত্রিশা।",0,
34,দূরত্ব কখনোই আবেগের বাঁধন ছিন্ন করতে পারে না। ঈদের সময় প্রবাসীদের সঙ্গে তাদের পরিবারের মিলনের এই সুন্দর উদ্যোগে আমরা মুন্সীগঞ্জে উপস্থিত ছিলাম।,0,
35,দূরে থাকা প্রিয়জনের মুখ দেখার আনন্দ অপরিসীম। ৭০ লাখ প্রবাসীর এই আনন্দকে আরও বড় করে তুলতে আমরা মুন্সীগঞ্জে গিয়েছিলাম। জয়িতা ত্রিশার ক্যামেরায় এই আনন্দের ছবি ফুটে উঠেছে।,0,
36,"বাড়ি যাচ্ছেন? কমলাপুর রেলস্টেশনে নতুন নেটওয়ার্ক কাভারেজে আপনার যাত্রা আরও সুন্দর হবে। নিশ্চিন্তে কল করুন, মেসেজ করুন।",1,
37,বাড়ি ফেরার আনন্দ সবার মনে। কমলাপুর রেলস্টেশনে অতিরিক্ত নেটওয়ার্ক কাভারেজের মাধ্যমে যাত্রীদের সুবিধা নিশ্চিত করা হয়েছে। এতে যাত্রাপথে পরিবার-বন্ধুদের সাথে যোগাযোগ রাখা সহজ হবে। সবাই নিরাপদে গন্তব্যে পৌঁছুক।,1,
38,ঈদে নতুন স্টাইলে ঈদ সেলিব্রেট করতে চান? ৮৯৯ টাকার ইন্টারনেট প্যাক বা ১১৯৯ টাকার কম্বো প্যাক নিয়ে ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি পান! গ্রামীণফোন আউটলেটে এখনই ঘুরে আসুন। স্টক সীমিত!,1,
39,“স্বপ্ন যাবে বাড়ি” টি-শার্ট পরে এই ঈদকে আরও স্মরণীয় করে তুলুন! ৮৯৯ টাকা বা তার বেশি মূল্যের যেকোনো প্যাক কিনলেই এই টি-শার্ট আপনার হবে। আর দেরি না করে গ্রামীণফোন আউটলেটে চলে আসুন।,1,
40,ঈদের উৎসবকে আরও রঙিন করতে চান? গ্রামীণফোনের নতুন অফারে ৮৯৯ টাকার ইন্টারনেট প্যাক বা ১১৯৯ টাকার কম্বো প্যাক কিনলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি পাবেন।,1,
41,ঈদে স্টাইলিশ হতে চান? গ্রামীণফোনের নতুন অফারে ৮৯৯ টাকার ইন্টারনেট প্যাক বা ১১৯৯ টাকার কম্বো প্যাক কিনলেই ‘স্বপ্ন যাবে বাড়ি’ টি-শার্ট ফ্রি! #ঈদ #গ্রামীণফোন #টিশার্ট #অফার,1,
42,"বিশ্ব পরিবেশ দিবসে গ্রিন এনার্জি ইকোসিস্টেম নিয়ে আলোচনা সভা অনুষ্ঠিত হয়। এই অনুষ্ঠানে বিশেষজ্ঞরা মনে করেন, সবার সম্মিলিত প্রচেষ্টায় একটি সবুজ বাংলাদেশ গড়া সম্ভব। জনসচেতনতা বৃদ্ধি ও সরকারি-বেসরকারি অংশীদারিত্বের মাধ্যমে এই লক্ষ্য অর্জন করা সম্ভব।",0,
43,"“গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক আলোচনা সভায় বিশেষজ্ঞরা মনে করেন, পরিবেশ রক্ষার জন্য সবার সক্রিয় অংশগ্রহণ জরুরি। এই অনুষ্ঠানে সবুজ বাংলাদেশ গড়ার বিভিন্ন দিক নিয়ে আলোচনা হয় এবং জনসচেতনতা বৃদ্ধির ওপর জোর দেওয়া হয়।",0,
44,"""সবুজ পৃথিবী গড়ার স্বপ্ন সত্যি করতে সবাইকে এক হওয়ার আহ্বান""",0,
45,"বিশ্ব পরিবেশ দিবসে আয়োজিত আলোচনা সভায় সবুজ বাংলাদেশ গড়ার বিভিন্ন দিক নিয়ে আলোচনা হয়। বিশেষজ্ঞরা মনে করেন, সবুজ শক্তি ব্যবহার বাড়ানো ও পরিবেশ সচেতনতা বৃদ্ধি করার মাধ্যমে আমরা একটি সবুজ পৃথিবী গড়তে পারি।",0,
46,এবারের বিশ্ব পরিবেশ দিবসে সবুজ বাংলাদেশ গড়ার উপায় খুঁজতে সরকারি-বেসরকারি সংস্থার প্রতিনিধিরা এক জায়গায় জড়ো হয়েছেন। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক এই অনুষ্ঠানে জনসচেতনতা বৃদ্ধির ওপর বিশেষ জোর দেওয়া হয়।,0,
47,এবারের বিশ্ব পরিবেশ দিবসে সরকারি-বেসরকারি স্টেকহোল্ডার ও প্যানেলিস্টদের আলোচনায় উঠে আসে কীভাবে সবার জন্য সবুজ পৃথিবী গড়ে তোলা যায়। “গ্রিন এনার্জি ইকোসিস্টেম ইন বাংলাদেশ” শীর্ষক অনুষ্ঠানে আলোচকরা জনসচেতনতা বৃদ্ধি ও সম্মিলিত প্রচেষ্টার উপর জোর দেন। আহ্বান জানান সবাইকে একসাথে-একযোগে সবুজ পৃথিবী গড়ে তোলার।,0,
48,নোয়াখালীর মাইজদী বাজারের মানুষেরা এখন দুনিয়ার সাথে আরও কাছাকাছি। সূর্যের আলোর শক্তিতে চালিত সোলার নেটওয়ার্কের মাধ্যমে তারা নিরবচ্ছিন্ন ইন্টারনেট ব্যবহার করে দুনিয়ার খবর রাখছে। শিশুরা অনলাইনে ভিডিও দেখে সময় কাটাচ্ছে। সবার জীবনে ইন্টারনেট এনেছে নতুন এক মাত্রা।,1,
49,ডিজিটাল বিপ্লব এখন দূরবর্তী মাইজদী বাজারেও পৌঁছে গেছে। সৌরশক্তি দ্বারা চালিত ইন্টারনেটের মাধ্যমে মানুষেরা অনলাইনে ব্যবসা পরিচালনা করছে এবং বিশ্বব্যাপী তথ্যের সাথে সংযুক্ত হচ্ছে। শিশুরাও অনলাইনে শিক্ষালাভ করছে এবং ভিডিও গেম খেলছে। এই নতুন প্রযুক্তির মাধ্যমে সবার জীবনযাত্রার মান উন্নত হচ্ছে।,1,
50,"সৌরশক্তি দ্বারা চালিত ইন্টারনেট মাইজদী বাজারের মানুষের জীবনে আলো এনেছে। এখন তারা বিশ্বের যেকোনো কোণে বসে তাদের প্রিয়জনদের সাথে যোগাযোগ রাখতে পারছে, অনলাইনে শিক্ষালাভ করতে পারছে। শিশুরাও ভিডিও দেখে আনন্দ পাচ্ছে।",1,
51,প্রযুক্তির ছোঁয়া এখন গ্রাম বাংলায়ও পৌঁছে গেছে। নোয়াখালীর মাইজদী বাজারের মানুষেরা সোলার নেটওয়ার্কের মাধ্যমে দুনিয়ার সাথে যুক্ত হয়েছে। শিশুরা অনলাইনে শিক্ষালাভের পাশাপাশি মজার মজার ভিডিও দেখছে।,1,
52,"মাইজদী বাজার এখন বিশ্বের সাথে সংযুক্ত! ☀️ সৌরশক্তি দ্বারা চালিত ইন্টারনেটের মাধ্যমে সবাই মিলে ব্যবসা করছে, শিখছে এবং আনন্দ করছে। #নোয়াখালী #সৌরনেটওয়ার্ক #ডিজিটালবাংলাদেশ",1,
53,বুয়েট মার্স রোভার টিমের স্বপ্ন আমাদের সবার স্বপ্ন। মঙ্গলে বাংলাদেশের নাম রাখার এই উদ্যোগে গ্রামীণফোন তাদের পাশে। চলো সবাই মিলে এই স্বপ্নকে বাস্তব করে তুলি।,0,
54,মঙ্গল গ্রহে বাংলাদেশের নাম উচ্চারিত হোক!,0,
55,মঙ্গলে বাংলাদেশের নাম রাখার এই স্বপ্ন আমাদের সবার। চলো সবাই মিলে এই স্বপ্নকে বাস্তবায়িত করি।,0,
56,মঙ্গলে বাংলাদেশের পতাকা উড়ুক! টিম ইন্টারপ্ল্যানেটরের এই অসাধারণ উদ্যোগে গ্রামীণফোন অনুপ্রেরণা জোগাচ্ছে,0,
57,মঙ্গল গ্রহে বাংলাদেশের ছাপ ফেলি! বুয়েটের মার্স রোভার টিমের এই মহান উদ্যোগে গ্রামীণফোন গর্বিত। মঙ্গলে বাংলাদেশের নাম রাখার এই স্বপ্নকে সফল করতে আমাদের সবার সমর্থন দরকার।,0,
58,মঙ্গল গ্রহে বাংলাদেশের নাম! 🇧🇩 বুয়েটের মার্স রোভার টিমের এই অসাধারণ উদ্যোগে গ্রামীণফোন গর্বিত। চলো সবাই মিলে এই স্বপ্নকে বাস্তব করে তুলি। #মঙ্গল #বাংলাদেশ #গ্রামীণফোন #SpaceExploration #Bangladesh,0,
59,"এমআইএসটি-তে গ্রামীণফোন একাডেমি-এর বিশেষ সেশন ‘গ্রাহকের আচরণের সাথে অভিযোজন’-এটি অংশগ্রহণ করে অনেকের ৫০০ তারও বেশি অংশ। সেশনে স্পিকার ডিজিটেশন ট্রাফরমেশন ও ইউজার এক্সেন্স (ইউএক্স)-এর গুরুত্ব আরোপ এবং উদাহরণ হিসেবে মান নির্ধারণ করা হয়েছিল ' মাইজিপি অ্যাপ।
অংশগ্রহণ করার জন্য এমআইএসটি-এর সব শর্ত ধন্যবাদ।
জিপিএকাডেমি",1,
60,গ্রামীণফোন একাডেমির ‘গ্রাহকের আচরণের সাথে অভিযোজন’ সেশনে ৫০০-এরও বেশি লোক অংশগ্রহণ করেছেন। সেশনে ডিজিটাল পরিবর্তন এবং ব্যবহারকারীর অভিজ্ঞতার গুরুত্ব ব্যাখ্যা করা হয়েছে। মাইজিপি অ্যাপকে উদাহরণ হিসেবে দেখানো হয়েছে।,1,
61,সেশনে ডিজিটাল বিশ্বে গ্রাহকদের আচরণ বোঝার গুরুত্ব এবং ব্যবহারকারীর অভিজ্ঞতা উন্নত করার উপায়গুলো নিয়ে আলোচনা করা হয়েছে। মাইজিপি অ্যাপকে একটি সফল উদাহরণ হিসেবে তুলে ধরা হয়েছে।,1,
62,গ্রামীণফোন একাডেমির ‘গ্রাহকের আচরণের সাথে অভিযোজন’ সেশন দারুণ সাড়া পেয়েছে! ৫০০+ জন একসাথে ডিজিটাল বিশ্বের গভীরে ঢুকে পড়েছেন। মাইজিপি অ্যাপের মতো সফল উদাহরণ আমাদের অনুপ্রাণিত করেছে। #গ্রামীণফোন #মাইজদী #ডিজিটালবিশ্ব,1,
63,আমতলি চরের শিশুদের স্বপ্ন পূরণ করতে চান? আমাদের সোলার চালিত নেটওয়ার্কের মাধ্যমে তাদেরকে ইন্টারনেটের জগতে নিয়ে আসুন। এখন তারা দুনিয়ার সব খবর জানতে পারবে এবং শিক্ষালাভ করতে পারবে।,1,
64,আমতলি চরের শিশুদের ভবিষ্যৎ উজ্জ্বল করতে চান? আমাদের সোলার নেটওয়ার্কের মাধ্যমে তাদেরকে ইন্টারনেটের সাথে সংযুক্ত করুন। এখনই আমাদের সাথে যোগাযোগ করুন।,1,
65,"আমাদের সোলার চালিত নেটওয়ার্কের মাধ্যমে আমতলি চরের শিশুরা দুনিয়ার সাথে সংযুক্ত হতে পারবে। তারা অনলাইনে শিক্ষালাভ করতে পারবে, ভিডিও দেখতে পারবে এবং বিশ্বব্যাপী তথ্যের সাথে সম্পর্ক রাখতে পারবে।",1,
66,আমরা আমতলি চরের শিশুদের ভবিষ্যৎ গড়তে সহায়তা করছি। আমাদের সোলার চালিত নেটওয়ার্কের মাধ্যমে তাদেরকে শিক্ষা এবং বিনোদনের সুযোগ দিচ্ছি।,1,
67,সীমিত সময়ের জন্য বিশেষ অফার! আমাদের সোলার চালিত নেটওয়ার্কের মাধ্যমে আমতলি চরের শিশুদেরকে ইন্টারনেটের সাথে সংযুক্ত করুন। এখনই আমাদের সাথে যোগাযোগ করুন।,1,
68,"আমতলি চরের এই শিশুরা বুঝি এই চরে বসেই স্বপ্ন দেখে একদিন অনেক বড় হবে। 
আমরা চাই ওদের স্বপ্নগুলো যেন পাখা মেলতে পারে।",0,
69,সোলার শক্তিতে চালিত গ্রামীণফোন টাওয়ারের মাধ্যমে তারা দেশের ১ নম্বর নেটওয়ার্কে সারাক্ষণ সংযুক্ত থাকতে পারছে।,1,
70,নোয়াখালীর মোহাম্মদপুর চর যেন স্বর্গের টুকরো। সূর্যের আলোতে ঝলমলে এই চরে মানুষেরা স্বাবলম্বী জীবন যাপন করছে। গ্রামীণফোনের সোলার টাওয়ারের মাধ্যমে তারা দুনিয়ার সাথে যুক্ত হয়েছে।,1,
71,মোহাম্মদপুর চরের সৌন্দর্য বর্ণনা করা যায় না। সূর্যের আলোতে ঝকমকে এই চরে মানুষেরা নিজেদের মতো করে জীবন যাপন করছে।,0,
72,নোয়াখালীর মোহাম্মদপুর চরের মানুষেরা সূর্যের আলোকে সঙ্গী করে নিজেদের জীবন গড়ে তুলেছে। গ্রামীণফোনের সোলার টাওয়ারের মাধ্যমে তারা দেশের ১ নম্বর নেটওয়ার্কে সারাক্ষণ সংযুক্ত থাকতে পারছে এবং দুনিয়ার সাথে তাল মিলিয়ে চলছে।,1,
73,গ্রামীণফোনের সোলার টাওয়ারের মাধ্যমে তারা দুনিয়ার সাথে যুক্ত হয়েছে।,1,
74,সূর্যের আলোতে ঝকমকে এই চরের মানুষেরা গ্রামীণফোনের সোলার টাওয়ারের মাধ্যমে দুনিয়ার সাথে যুক্ত হয়েছে,0,
75,সোলার পাওয়ারের আলোতে দেশের ১ নম্বর নেটওয়ার্কের সাথে যুক্ত হয়ে তারা সারা দুনিয়ার খবর পায়।,1,
76,"পানির ঘেরা দানদুল চরে প্রতিদিন সূর্যের আলো ফুটে ওঠে নতুন আশা নিয়ে। মাছ ধরার ব্যস্ততা, বাজারের খবর, সবই জানা যায় দেশের ১ নম্বর নেটওয়ার্কের মাধ্যমে। সোলার পাওয়ারের আলোতে এই বিছিন্নতা ভাঙছে।",1,
77,"দানদুল চরের মানুষেরা পানির মাঝেও আশা হারায় না। সূর্যের আলো আর নেটওয়ার্কের সংযোগে তারা সারা দুনিয়ার সাথে যুক্ত। মাছ ধরা, বাজারের খবর, সবই এখন তাদের হাতের মুঠোয়।",1,
78,"দানদুল চরের মাঝে সোলার পাওয়ারের আলোতে জাগরুকতা ছড়িয়ে পড়েছে। নেটওয়ার্কের মাধ্যমে তারা জানতে পারে দেশের বাইরের খবর, বাজারের হাল। মাছ ধরার ব্যস্ততার মাঝেও তারা আর একা নয়।",1,
79,"পানির বিশাল জলাশয়ের মাঝখানে দানদুল চর। কিন্তু সোলার পাওয়ারের আলোতে এই চরের মানুষেরা আর বিচ্ছিন্ন নয়। দেশের ১ নম্বর নেটওয়ার্কের মাধ্যমে তারা সারা দুনিয়ার সাথে যুক্ত। মাছ ধরা, বাজারের খবর, সবই এখন তাদের আঙুলের ছোঁয়ায়।",1,
80,সবই জানা যায় দেশের ১ নম্বর নেটওয়ার্কের মাধ্যমে।,1,
81,"চারিদিকে কেবল পানি আর পানি। তবু প্রতিদিন আশার খবর নিয়ে আসে আলো। 
দানদুল চরে প্রতিদিন ঠিক এমনিভাবেই সূর্যের আলো ফুটে ওঠার সাথে সাথেই শুরু হয়ে যায় মাছ ধরার ব্যস্ততা। ওরা এখন জানে কখন মাছের দাম বাড়ে-কমে। কোন বাজারের হাল কেমন! যে আলোয় ওরা প্রতিদিন জীবন শুরু করে সেই আলোই ওদের স্বপ্ন দেখায়। ধূ ধূ চরের এই বিছিন্নতার মাঝেও ওরা সারাক্ষণ কানেক্টেড থাকে দেশের ১ নম্বর নেটওয়ার্কে। আর এই কানেকশন নিরবচ্ছিন্ন রাখতেই সাথে আছি আমরা সোলার পাওয়ার নেটওয়ার্ক টাওয়ার নিয়ে। ",1,
82,"হাতিয়ার চরে সূর্যের আলো শুধু আলোই নয়, এটি এখানকার মানুষের জীবনের চালিকা শক্তি। সোলার নেটওয়ার্কের মাধ্যমে তারা দুনিয়ার সাথে যুক্ত হয়ে নিজেদের জীবনমান উন্নত করছে।",1,
83,প্রতিদিন সকালে হাতিয়ার চরে সূর্যের আলোর সাথে সাথে জেগে ওঠে নতুন আশা। সোলার নেটওয়ার্কের মাধ্যমে এই আশা আরও বড় হচ্ছে।,1,
84,হাতিয়ার চরের সকাল সূর্যের আলোয় শুরু হলেও সোলার নেটওয়ার্কের আলোয় এগিয়ে যায়।,1,
85,হাতিয়ার চরের মানুষেরা সূর্যের আলোর মতোই উজ্জ্বল। সোলার নেটওয়ার্ক তাদেরকে বিশ্বের সাথে সংযুক্ত করে আরও উজ্জ্বল করে তুলছে।,1,
86,"সূর্যের আলো হাতিয়ার চরকে জাগায়, আর সোলার নেটওয়ার্ক তাদেরকে বিশ্বের সাথে যুক্ত করে।",1,
87,হাতিয়ার চরের মানুষেরা সূর্যের আলোর মতোই অবিচল। সোলার নেটওয়ার্ক তাদেরকে আরও অবিচল করে তুলেছে।,1,
